2024-03-16-09-49-55, count:182, damage: 2297
2024-03-16-09-50-29, count:183, damage: 190
2024-03-16-09-50-58, count:184, damage: 184
2024-03-16-09-51-37, count:185, damage: 2304
2024-03-16-09-52-08, count:186, damage: 880
2024-03-16-09-52-38, count:187, damage: 936
2024-03-16-09-53-08, count:188, damage: 172
2024-03-16-09-53-45, count:189, damage: 915
2024-03-16-09-57-17, count:195, damage: 2295
2024-03-16-09-58-09, count:196, damage: 189
2024-03-16-09-58-37, count:197, damage: 904
2024-03-16-09-59-11, count:198, damage: 898
2024-03-16-10-09-37, count:209, damage: 1737
2024-03-16-10-10-17, count:210, damage: 128
2024-03-16-10-10-50, count:211, damage: 1877
2024-03-16-10-11-21, count:212, damage: 966
2024-03-16-10-11-51, count:213, damage: 177
2024-03-16-10-12-19, count:214, damage: 2102
2024-03-16-10-12-59, count:215, damage: 1937
2024-03-16-10-13-32, count:216, damage: 1968
2024-03-16-10-22-39, count:225, damage: 1828
2024-03-16-10-23-35, count:226, damage: 2335
2024-03-16-10-24-46, count:227, damage: 2098
2024-03-16-10-25-50, count:228, damage: 2328
2024-03-16-10-27-03, count:229, damage: 163
2024-03-16-10-27-32, count:230, damage: 2173
2024-03-16-10-28-15, count:231, damage: 175
2024-03-16-10-29-22, count:232, none damage
2024-03-16-10-30-18, count:233, none damage
2024-03-16-10-31-15, count:234, damage: 2027
2024-03-16-10-31-46, count:235, damage: 855
2024-03-16-10-32-20, count:236, damage: 930
2024-03-16-10-32-51, count:237, damage: 193
2024-03-16-10-33-20, count:238, damage: 187
2024-03-16-10-33-51, count:239, damage: 1872
2024-03-16-10-34-23, count:240, damage: 171
2024-03-16-10-34-54, count:241, damage: 180
2024-03-16-10-35-30, count:242, damage: 896
2024-03-16-10-36-00, count:243, damage: 2138
2024-03-16-10-36-33, count:244, damage: 2034
2024-03-16-10-57-02, count:252, damage: 2488
2024-03-16-10-58-18, count:253, damage: 2149
2024-03-16-10-59-25, count:254, damage: 2112
2024-03-16-11-00-29, count:255, damage: 1959
2024-03-16-11-01-29, count:256, damage: 814
2024-03-16-11-02-02, count:257, damage: 160
2024-03-16-11-02-45, count:258, damage: 2347
2024-03-16-11-03-15, count:259, damage: 926
2024-03-16-11-03-46, count:260, damage: 1906
2024-03-16-11-04-41, count:261, damage: 200
2024-03-16-11-05-12, count:262, damage: 169
2024-03-16-11-06-00, count:263, damage: 2036
2024-03-16-11-06-30, count:264, damage: 2236
2024-03-16-11-07-04, count:265, damage: 1945
2024-03-16-11-08-03, count:266, damage: 2106
2024-03-16-11-09-08, count:267, damage: 169
2024-03-16-11-09-40, count:268, damage: 688
2024-03-16-11-10-11, count:269, damage: 2141
2024-03-16-11-10-44, count:270, damage: 2052
2024-03-16-11-11-44, count:271, damage: 186
2024-03-16-11-12-16, count:272, damage: 188
2024-03-16-11-15-47, count:278, damage: 184
2024-03-16-11-16-26, count:279, damage: 2168
2024-03-16-11-17-00, count:280, damage: 1880
2024-03-16-11-17-31, count:281, damage: 940
2024-03-16-11-18-02, count:282, damage: 200
2024-03-16-11-18-33, count:283, damage: 951
2024-03-16-11-19-10, count:284, damage: 208
2024-03-16-11-19-46, count:285, damage: 163
2024-03-16-11-20-15, count:286, damage: 938
2024-03-16-11-20-49, count:287, damage: 175
2024-03-16-11-21-22, count:288, damage: 2451
2024-03-16-11-21-52, count:289, damage: 216
2024-03-16-11-22-21, count:290, damage: 196
2024-03-16-11-22-49, count:291, damage: 169
2024-03-16-11-23-38, count:292, damage: 2006
2024-03-16-11-24-10, count:293, damage: 1806
2024-03-16-11-24-41, count:294, damage: 921
2024-03-16-11-25-14, count:295, damage: 2240
2024-03-16-11-25-42, count:296, damage: 2128
2024-03-16-11-26-15, count:297, damage: 204
2024-03-16-11-26-58, count:298, damage: 2356
